Centrale compositie	Bij een centrale compositie staat het belangrijkste element in het midden van het beeldvlak.
Silhouet	Clair-obscur is een techniek uit de schilderkunst, film en fotografie waarbij de licht-donkercontrasten sterker worden uitgebeeld dan ze in werkelijkheid vaak zijn. Dit zorgt voor een dramatisch effect. Vaak is de lichtbron niet zichtbaar in het beeldvlak.
Omklapping	De verschillende aanzichten, die even belangrijk zijn, worden allemaal zichtbaar gemaakt. Daarbij worden bijvoorbeeld vormen die rechtop zouden moeten staan horizontaal omgeklapt. Dit zie je vaak in kindertekeningen of in primitieve schilderkunst.
Stapeling	De objecten worden in lagen boven elkaar 'gestapeld'. De objecten die laag staan 'lijken' zo dichtbij en de objecten die hoog in de afbeelding staan 'lijken' ver weg, ondanks dat de objecten meestal niet van grootte verschillen.
Groot-klein	De dingen op de voorgrond zijn groot, verder weg kleiner.
Overlapping	Overlapping wil zeggen dat vormen of kleuren over elkaar heen zijn getekend of gezet.
Afsnijding	Het kader overlapt de vormen, de beschouwer maakt de vormen in gedachte af.
Plans	De ruimte wordt in lagen opgedeeld. De schilder maakt gebruik van een voorplan en een achterplan, soms een middenplan. Elk plan heeft een eigen sfeer, lichtheid en stijl van vormgeving.
Plasticiteit	Plasticiteit is de mate aan dieptewerking, veroorzaakt door licht- en schaduwwerking.
Trompe l'oeil	Trompe-l'oeil is een techniek in de beeldende kunst waarbij opzettelijk een optische illusie wordt gecreëerd.
Vogelvluchtperspectief	"Vogelvluchtperspectief of vogelperspectief is de vorm van perspectief waarbij het object vanaf een veel hoger punt bezien wordt dan de locatie van het object, zoals een vogel het ziet die hoog in de lucht vliegt. Het zichtpunt (""ons oog"") is op grote hoogte en op grote afstand van het object."
Kikvorsperspectief	"Bij een kikvorsperspectief wordt onderwerp bekeken vanuit een heel laag standpunt. Je kijkt tegen het onderwerp op; net zoals een kikker tegen de mens op kijkt."
Ooghoogte	Bij een kunstwerk op ooghoogte bevindt het onderwerp van het kunstwerk zich op een gelijke hoogte, zoals een normaal mens tegen het onderwerp aankijkt
Kleurperspectief	Kleurperspectief is het verschijnsel dat met kleuren een dieptewerking in een kunstwerk kan worden verkregen.
Repoussoir	Een repoussoir is een schildertechniek waarbij met opzet een voorwerp in de voorgrond van een schilderij wordt geplaatst, om de illusie van diepte te vergroten. Een repoussoir is ten opzichte van de rest van het schilderij donker van kleur, en bedekt een gedeelte van de voorstelling.
Atmosferisch perspectief	Atmosferisch perspectief is een schildertechniek waar vooral door het gebruik van kleur een indruk van diepte in het schilderij kan worden gebracht. Hoe verder op de achtergrond, hoe koeler grijsblauw de tinten en hoe vager de vormen worden.
Lijnperspectief	Als er lijnperspectief in een afbeelding aanwezig is, gaan alle lijnen naar een verdwijnpunt op de horizon waardoor er meer ruimtelijkheid komt.
Verkleining	Ruimtesuggestie door objecten in de voorgrond groot en verder weg kleiner weer te geven.
Verkorting	Verkorting is een term uit de schilderkunst, waarmee wordt aangeduid dat een lichaamsdeel of een ander voorwerp dat naar de schilder toe wijst of ervandaan, door de werking van het perspectief sterk wordt verkort.
Doorkijk	Je kijkt als toeschouwer door bijvoorbeeld een raam of deur naar binnen. Het tafereel wordt hierdoor gedeeltelijk overlapt door bijvoorbeeld een muur en het raam.
Complementair kleurcontrast	Complementair contrast ontstaat door kleuren naast elkaar te zetten die in de kleurencirkel recht tegenover elkaar staan.
Licht/donker contrast	Dit contrast heeft alles te maken met de helderheid van verschillende kleuren. Het duidelijkste voorbeeld van een licht-donker contrast is natuurlijk zwart tegenover wit. Maar ook heel donkerblauw tegenover heel lichtblauw is een licht-donker tegenstelling. Ook kan je spreken van een licht-donker contrast wanneer je twee verschillende kleuren gebruikt.
Kwaliteitscontrast	Het kwaliteitscontrast is het contrast tussen heldere, verzadigde kleuren, en matte, troebele kleuren.
Warm/koud contrast	Het warm-koud contrast wordt veroorzaakt doordat sommige kleuren, vooral in de kleurencirkel rond de kleur rood gelegen, een warme indruk maken. Andere kleuren, rondom de kleur blauw, maken een koude indruk.
Realistisch kleurgebruik	Kleurgebruik waarbij de kleuren zo realistisch mogelijk gehouden worden, dus kleurgebruik hoe het in de realiteit of natuur ook is.
Decoratief kleurgebruik	Decoratief kleurgebruik is het gebruik van kleur als decoratie, dus als versiering.
Monochroom kleurgebruik	"Monochroom betekent in één kleur. Maar als de term ""monochroom"" iets wordt uitgebreid naar een werk met wel enige kleurnuances, verschillende tinten van één kleur, is dat ook monochroom in de kunst."
Symbolisch kleurgebruik	"Symbolisch kleurgebruik is het toepassen van kleuren met een bepaalde betekenis; bijv. rood voor liefde, groen voor hoop, wit voor maagdelijkheid."
Expressief kleurgebruik	Wanneer kleuren gebruikt worden om een emotie/expressie uit te drukken. Expressief komt van het woord expressie dat uitdrukking betekent. Met kleuren kun je gevoelens uitdrukken.
Ruimte versterkend kleurgebruik	Het inzetten van kleur om het gevoel van ruimte/driedimensionaliteit te vergroten, door koudere kleuren op de achtergrond te gebruiken.
Geometrische vorm	Geometrische vormen zijn alle vormen, die je met behulp van passer en liniaal kunt construeren.
Organische vorm	"De vormen zijn afgeleid van natuurlijke vormen; plantaardige, dierlijke en menselijke vormen. Ze lijken op natuurlijke wijze te zijn gegroeid. De vormen zijn vaak rond, vloeiend."
Expressieve vorm	Vormen die de ruimte eromheen doorboren.
Realistische vorm	Is vormgebruik waarbij de vormen zo realistisch mogelijk gehouden worden, dus vormgebruik hoe het in de realiteit ook is.
Abstract	Bij abstractie wordt vooral een structuur, een gevoel of een idee in een kunstwerk vertolkt waarbij de waarneembare werkelijkheid niet meer te herkennen is. Kunstwerk zonder voorstelling.
Geïdealiseerd	Iets dat volmaakt is, het voldoet aan het ideaal. Het is perfect.
Gestileerd	Een vorm die is vereenvoudigd doordat details zijn weggelaten.
Open vorm	"Vorm waarvan het oppervlak niet gesloten is, maar openingen heeft of transparant is; de omringende ruimte en de ruimte in de openingen bepalen mede de vorm."
Gesloten vorm	Vorm waarvan het oppervlak gesloten is en massief is of massief aandoet.
Symmetrische vorm	Beide helften van de vorm zijn gelijk aan elkaar.
Asymmetrische vorm	Als je de vorm in twee helften verdeelt, zijn deze niet spiegelbeeldig.
3D	Een kunstwerk dat ruimte inneemt.
2D	Een plat kunstwerk.
Gedeformeerd	Het veranderen van herkenbare vormen, zodat ze duidelijk verschillen van de werkelijkheid.
Kwantiteitscontrast	Het kwantiteitscontrast betekent dat er een sterk en als spannend ervaren contrastverschil kan ontstaan door de kleuren in zeer verschillende hoeveelheden te gebruiken. Bijvoorbeeld door twee kleine vlakjes blauw in een groot oranje veld toe te passen
Enkelvoudige vorm	Een vorm die uit één stuk bestaat.
Samengestelde vorm	Een vorm die uit meer verschillende vormen is opgebouwd of samengesteld. 
